instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant5400 glasgowbiasedthreads36v1 glasgowbiasedthreads36v2 glasgowbiasedconstant5400threads36v1 glasgowbiasedconstant5400threads36v2 glasgowbiasedconstant5400triggeredthreads36v1 glasgowbiasedconstant5400triggeredthreads36v2 glasgowbiasedrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggeredmpih10x2t18 glasgowrandomrestartsconstant5400triggeredmpih5x2t18 glasgowbiasedrestartsconstant5400triggerednr32mpih5x2t18 glasgowbiasedtimer100 glasgowbiasedtimer100triggeredthreads36v1 glasgowbiasedtimer100triggeredthreads36v2 glasgowbiasedtimer100triggeredthreads36mpih5x2t18 glasgowbiasedtimer100triggeredthreads36mpih10x2t18 glasgowbiasedtimer100triggeredthreads36mpih20x2t18
si2_m4Dr2_m256.09 6 1 8 5 17 9 8 17 9 9 9 38 36 47 21 56 29 0 0 0 0 9 54 33 0 0 0
si2_m4Dr2_m256.03 6 1 80 336 37 77 163 37 77 77 77 235 489 195 102 99 304 0 0 0 0 77 268 231 0 0 0
si2_m4Dr2_m256.04 6 1 551 20 525 306 23180 525 306 306 306 2547 903 1279 1312 2406 1089 0 0 0 0 306 1158 2470 0 0 0
si2_m4Dr2_m256.07 6 1 7 8 7 8 7 7 8 8 8 23 25 23 27 26 27 0 0 0 0 8 23 29 0 0 0
si2_m4Dr2_m256.00 6 1 23 13 25 14 120 25 14 14 14 58 82 44 62 55 39 0 0 0 0 14 68 83 0 0 0
si2_m4Dr2_m256.06 6 1 714 323 489 302 15448 489 302 302 302 3133 3887 3241 1950 4347 2657 0 0 0 0 302 1652 1374 0 0 0
si2_m4Dr2_m256.08 6 1 7 7 7 7 7 7 7 7 7 26 13 27 26 25 31 0 0 0 0 7 28 25 0 0 0
si2_m4Dr2_m256.05 6 1 3 3 3 3 3 3 3 3 3 11 11 13 15 9 7 0 0 0 0 3 14 16 0 0 0
si2_m4Dr2_m256.01 6 1 19 12 12 19 47 12 19 19 19 69 61 73 80 74 85 0 0 0 0 19 88 81 0 0 0
si2_m4Dr2_m256.02 6 1 21 3 5 4 149 5 4 4 4 32 23 52 49 23 50 0 0 0 0 4 60 56 0 0 0
si6_r001_m600.09 7 1 2 2 2 2 2 2 2 2 2 37 37 37 37 38 37 0 0 0 0 2 38 38 0 0 0
si6_r001_m600.00 7 1 16 55 57 16 35 57 16 16 16 517 505 519 519 519 519 0 0 0 0 16 519 519 0 0 0
si6_r001_m600.07 7 1 8 77 47 11 12 47 11 11 11 259 259 256 256 256 256 0 0 0 0 11 259 256 0 0 0
si6_r001_m600.03 7 1 6 5 7 5 14 7 5 5 5 124 122 122 122 122 122 0 0 0 0 5 122 122 0 0 0
si6_r001_m600.01 7 1 9 6 5 9 21 5 9 9 9 170 167 170 167 167 167 0 0 0 0 9 167 167 0 0 0
si6_r001_m600.06 7 1 6 12 6 10 9 6 10 10 10 158 158 158 161 158 165 0 0 0 0 10 158 158 0 0 0
si6_r001_m600.08 7 1 4 52 51 13 4 51 13 13 13 165 165 165 165 165 165 0 0 0 0 13 165 165 0 0 0
si6_r001_m600.02 7 1 3 3 3 3 3 3 3 3 3 38 40 38 38 38 38 0 0 0 0 3 38 38 0 0 0
si6_r001_m600.04 7 1 6 5 5 6 7 5 6 6 6 76 76 76 76 84 76 0 0 0 0 6 80 80 0 0 0
si6_r001_m600.05 7 1 3 3 3 3 3 3 3 3 3 38 38 38 38 38 38 0 0 0 0 3 38 40 0 0 0
si2_m4Dr2_m1296.05 6 1 35 34 34 35 35 34 35 35 35 107 70 69 70 237 112 0 0 0 0 35 77 104 0 0 0
si2_m4Dr2_m1296.09 6 1 28 29 29 27 32 29 27 27 27 278 275 273 273 296 296 0 0 0 0 27 273 273 0 0 0
si2_m4Dr2_m1296.02 6 1 590 309 615 876 950 615 789 689 876 447 608 445 429 469 626 0 0 0 0 772 418 395 0 0 0
si2_m4Dr2_m1296.07 6 1 9 9 9 9 9 9 9 9 9 9 9 9 18 9 16 0 0 0 0 9 25 9 0 0 0
si2_m4Dr2_m1296.00 6 1 28 28 28 28 28 28 28 28 28 74 28 65 73 56 56 0 0 0 0 28 65 84 0 0 0
si2_m4Dr2_m1296.06 6 1 25 25 25 25 25 25 25 25 25 60 60 60 60 60 135 0 0 0 0 25 60 75 0 0 0
si2_m4Dr2_m1296.08 6 1 30 30 30 30 30 30 30 30 30 127 65 153 106 211 65 0 0 0 0 30 65 65 0 0 0
si2_m4Dr2_m1296.01 6 1 82 20 35 82 147 35 82 82 82 1216 932 1329 1182 1598 662 0 0 0 0 82 902 968 0 0 0
si2_m4Dr2_m1296.03 6 1 22 22 22 22 22 22 22 22 22 82 22 51 48 44 22 0 0 0 0 22 88 74 0 0 0
si2_m4Dr2_m1296.04 6 1 30 30 30 30 30 30 30 30 30 31 38 76 30 55 82 0 0 0 0 30 93 61 0 0 0
si4_b06m_m800.08 4 1 21 21 21 21 21 21 21 21 21 21 26 21 21 21 84 0 0 0 0 21 21 63 0 0 0
si4_b06m_m800.00 4 1 11 11 11 11 11 11 11 11 11 11 33 11 11 11 11 0 0 0 0 11 11 11 0 0 0
si4_b06m_m800.06 4 1 18 18 18 18 18 18 18 18 18 18 37 36 18 37 18 0 0 0 0 18 18 18 0 0 0
si4_b06m_m800.05 4 1 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 0 0 0 0 14 17 14 0 0 0
si4_b06m_m800.04 4 1 18 18 18 18 18 18 18 18 18 54 18 43 54 39 18 0 0 0 0 18 19 36 0 0 0
si4_b06m_m800.09 4 1 23 23 23 23 23 23 23 23 23 23 23 23 23 23 135 0 0 0 0 23 23 23 0 0 0
si4_b06m_m800.01 4 1 12 12 12 12 12 12 12 12 12 12 12 24 36 36 12 0 0 0 0 12 12 12 0 0 0
si4_b06m_m800.07 4 1 17 17 17 17 17 17 17 17 17 34 17 17 34 34 56 0 0 0 0 17 34 17 0 0 0
si4_b06m_m800.03 4 1 20 20 20 20 20 20 20 20 20 41 23 73 60 40 20 0 0 0 0 20 38 44 0 0 0
si4_b06m_m800.02 4 1 11 11 11 11 11 11 11 11 11 21 11 11 11 11 11 0 0 0 0 11 11 15 0 0 0
si6_m4Dr2_m625.08 6 1 10 10 10 10 10 10 10 10 10 120 80 80 96 80 80 0 0 0 0 10 88 80 0 0 0
si6_m4Dr2_m625.09 6 1 12 12 12 12 12 12 12 12 12 12 36 12 12 12 12 0 0 0 0 12 12 12 0 0 0
si6_m4Dr2_m625.05 6 1 4 4 4 4 4 4 4 4 4 39 39 39 39 39 39 0 0 0 0 4 39 42 0 0 0
si6_m4Dr2_m625.01 6 1 11 11 11 11 11 11 11 11 11 22 11 11 11 11 11 0 0 0 0 11 11 11 0 0 0
