instance family sequentialixinduced3 sequentialixinducedrestarts5
si2_b03m_m200.04 4 19 20
si2_b03m_m200.01 4 21 19
si2_b03m_m200.07 4 19 17
si4_r001_m200.04 7 32 32
si4_r001_m200.07 7 40 25
si4_r001_m200.00 7 38 32
si4_r001_m200.01 7 23 31
si4_r001_m200.03 7 32 27
si4_r001_m200.06 7 26 32
si4_r001_m200.05 7 40 32
si4_r001_m200.08 7 26 33
si4_r001_m200.09 7 53 21
si4_r001_m200.02 7 42 21
si2_m4D_m256.08 5 44 22
si2_m4D_m256.03 5 37 36
si2_m4D_m256.02 5 28 34
si2_m4D_m256.06 5 43 21
si2_m4D_m256.04 5 40 40
si2_m4D_m256.07 5 20 34
si2_m4D_m256.01 5 38 36
si2_m4D_m256.09 5 34 24
si2_m4D_m256.00 5 42 40
si2_m4D_m256.05 5 35 22
si6_r01_m400.04 7 2967 2551
si6_r01_m400.08 7 4526 5944
si6_r01_m400.07 7 335 284
si6_r01_m400.06 7 4328 2521
si6_r01_m400.05 7 895 2887
si6_r01_m400.02 7 886 828
si6_r01_m400.00 7 3042 3709
si6_r01_m400.03 7 13490 10765
si6_r01_m400.01 7 10134 12939
si6_r01_m400.09 7 27663 30208
si2_m4Dr4_m625.07 6 270 256
si2_m4Dr4_m625.02 6 241 257
si2_m4Dr4_m625.03 6 145 262
si2_m4Dr4_m625.00 6 249 212
si2_m4Dr4_m625.05 6 218 209
si2_m4Dr4_m625.06 6 210 222
si2_m4Dr4_m625.09 6 753 786
si2_m4Dr4_m625.01 6 222 160
si2_m4Dr4_m625.08 6 321 283
si2_m4Dr4_m625.04 6 269 230
si4_r01_m400.01 7 6966 8355
si4_r01_m400.08 7 539 553
si4_r01_m400.02 7 5954 12835
si4_r01_m400.03 7 12949 10943
si4_r01_m400.07 7 3864 352
si4_r01_m400.06 7 903 890
si4_r01_m400.04 7 131350 NaN
si4_r01_m400.00 7 74573 NaN
si4_r01_m400.05 7 12446 13495
si4_r01_m400.09 7 69396 36623
si2_b09m_m400.09 4 116 72
si2_b09m_m400.03 4 66 110
si2_b09m_m400.01 4 115 108
si2_b09m_m400.08 4 65 111
si2_b09m_m400.05 4 106 113
si2_b09m_m400.06 4 116 65
si2_b09m_m400.00 4 104 105
si2_b09m_m400.02 4 115 105
si2_b09m_m400.04 4 115 77
si2_b09m_m400.07 4 113 119
si2_b09_m800.07 3 334 292
si2_b09_m800.04 3 418 312
si2_b09_m800.05 3 427 320
si2_b09_m800.00 3 376 376
si2_b09_m800.02 3 375 283
si2_b09_m800.01 3 335 404
si2_b09_m800.08 3 376 282
si2_b09_m800.09 3 337 422
si2_b09_m800.03 3 395 404
si2_b09_m800.06 3 501 400
si6_b03_m400.04 3 177 175
si6_b03_m400.09 3 167 207
si6_b03_m400.02 3 180 177
si6_b03_m400.06 3 221 214
si6_b03_m400.05 3 181 126
si6_b03_m400.08 3 173 193
si6_b03_m400.01 3 166 123
si6_b03_m400.07 3 161 141
si6_b03_m400.03 3 181 185
si6_b03_m400.00 3 174 210
si2_r005_m600.03 7 18088 28147
si2_r005_m600.00 7 220617 NaN
si2_r005_m600.06 7 82268 90590
si2_r005_m600.01 7 179260 NaN
si2_r005_m600.04 7 19763 12878
si2_r005_m600.09 7 18941 10480
si2_r005_m600.05 7 156298 62973
si2_r005_m600.02 7 126685 NaN
si2_r005_m600.08 7 30658 11842
si2_r005_m600.07 7 17935 18357
si4_r01_m600.05 7 28838 26984
si4_r01_m600.02 7 37706 29884
si4_r01_m600.03 7 143420 NaN
si4_r01_m600.07 7 37888 42667
si4_r01_m600.08 7 103430 63803
si4_r01_m600.06 7 180263 NaN
si4_r01_m600.01 7 4187 4044
si4_r01_m600.04 7 1255 3096
si4_r01_m600.00 7 1333 2016
si4_r01_m600.09 7 191851 NaN
si2_b09_m400.04 3 107 89
si2_b09_m400.08 3 109 113
si2_b09_m400.05 3 109 112
si2_b09_m400.01 3 97 79
si2_b09_m400.03 3 114 112
si2_b09_m400.02 3 115 76
si2_b09_m400.07 3 128 65
si2_b09_m400.09 3 63 107
si2_b09_m400.06 3 113 113
si2_b09_m400.00 3 96 108
si4_b06_m200.06 3 42 26
si4_b06_m200.03 3 35 45
si4_b06_m200.02 3 35 38
si4_b06_m200.07 3 35 36
si4_b06_m200.05 3 44 35
si4_b06_m200.08 3 48 35
si4_b06_m200.00 3 35 36
si4_b06_m200.04 3 35 36
si4_b06_m200.01 3 41 42
si4_b06_m200.09 3 43 35
si4_r005_m400.06 7 537 688
si4_r005_m400.03 7 1651 2021
si4_r005_m400.07 7 2466 3827
si4_r005_m400.01 7 660 561
si4_r005_m400.04 7 3385 3985
si4_r005_m400.00 7 984 1189
si4_r005_m400.09 7 591 268
si4_r005_m400.05 7 718 919
si4_r005_m400.08 7 220 208
si4_r005_m400.02 7 7431 6371
si4_m4Dr2_m1296.07 6 1665 1239
si4_m4Dr2_m1296.00 6 1388 1237
si4_m4Dr2_m1296.05 6 1318 1474
si4_m4Dr2_m1296.04 6 1438 1799
si4_m4Dr2_m1296.08 6 1786 1511
si4_m4Dr2_m1296.01 6 1250 1450
si4_m4Dr2_m1296.06 6 1273 1278
si4_m4Dr2_m1296.02 6 1417 1262
si4_m4Dr2_m1296.03 6 1667 1501
si4_m4Dr2_m1296.09 6 1542 1327
si6_b09_m800.03 3 844 741
si6_b09_m800.09 3 797 643
si6_b09_m800.07 3 772 644
si6_b09_m800.05 3 835 785
si6_b09_m800.04 3 859 720
si6_b09_m800.01 3 830 907
si6_b09_m800.00 3 805 849
si6_b09_m800.02 3 802 755
si6_b09_m800.06 3 673 754
si6_b09_m800.08 3 641 853
si6_b06m_m400.00 4 206 164
si6_b06m_m400.08 4 154 184
si6_b06m_m400.03 4 119 145
si6_b06m_m400.04 4 114 188
si6_b06m_m400.06 4 167 182
si6_b06m_m400.07 4 177 100
si6_b06m_m400.09 4 129 176
si6_b06m_m400.02 4 154 171
si6_b06m_m400.01 4 117 165
si6_b06m_m400.05 4 101 154
si2_m4Dr4_m1296.08 6 1083 1018
si2_m4Dr4_m1296.07 6 1028 1142
si2_m4Dr4_m1296.03 6 1113 1147
si2_m4Dr4_m1296.05 6 1040 978
si2_m4Dr4_m1296.06 6 863 945
si2_m4Dr4_m1296.04 6 904 927
si2_m4Dr4_m1296.09 6 1308 1090
si2_m4Dr4_m1296.01 6 990 1167
si2_m4Dr4_m1296.00 6 1044 987
si2_m4Dr4_m1296.02 6 974 1077
si6_m4Dr6_m1296.02 6 2393 1989
si6_m4Dr6_m1296.08 6 2093 1806
si6_m4Dr6_m1296.07 6 2022 1825
si6_m4Dr6_m1296.06 6 1930 1929
si6_m4Dr6_m1296.03 6 2248 1910
si6_m4Dr6_m1296.04 6 1855 1957
si6_m4Dr6_m1296.05 6 1923 2057
si6_m4Dr6_m1296.00 6 2058 1872
si6_m4Dr6_m1296.09 6 2175 1785
si6_m4Dr6_m1296.01 6 1889 2039
si4_m4Dr2_m256.00 6 61 60
si4_m4Dr2_m256.01 6 49 55
si4_m4Dr2_m256.05 6 56 57
si4_m4Dr2_m256.04 6 29 56
si4_m4Dr2_m256.08 6 30 47
si4_m4Dr2_m256.07 6 61 61
si4_m4Dr2_m256.06 6 61 49
si4_m4Dr2_m256.02 6 47 49
si4_m4Dr2_m256.09 6 48 37
si4_m4Dr2_m256.03 6 60 50
si4_b09m_m200.01 4 44 37
si4_b09m_m200.00 4 47 38
