instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si6_b06m_m400.00 4 1 1 1
si6_b06m_m400.08 4 1 1 1
si6_b06m_m400.03 4 1 1 1
si6_b06m_m400.04 4 1 2 1
si6_b06m_m400.06 4 1 1 1
si6_b06m_m400.07 4 1 1 1
si6_b06m_m400.09 4 1 1 1
si6_b06m_m400.02 4 1 1 1
si6_b06m_m400.01 4 1 1 2
si6_b06m_m400.05 4 1 1 1
si2_m4Dr4_m1296.08 6 1 3 8
si2_m4Dr4_m1296.07 6 1 4 6
si2_m4Dr4_m1296.03 6 1 4 8
si2_m4Dr4_m1296.05 6 1 3 3
si2_m4Dr4_m1296.06 6 1 3 3
si2_m4Dr4_m1296.04 6 1 3 3
si2_m4Dr4_m1296.09 6 1 4 4
si2_m4Dr4_m1296.01 6 1 3 6
si2_m4Dr4_m1296.00 6 1 3 3
si2_m4Dr4_m1296.02 6 1 21 23
si6_m4Dr6_m1296.02 6 1 34 37
si6_m4Dr6_m1296.08 6 1 36 36
si6_m4Dr6_m1296.07 6 1 35 35
si6_m4Dr6_m1296.06 6 1 36 35
si6_m4Dr6_m1296.03 6 1 36 35
si6_m4Dr6_m1296.04 6 1 35 36
si6_m4Dr6_m1296.05 6 1 35 35
si6_m4Dr6_m1296.00 6 1 34 35
si6_m4Dr6_m1296.09 6 1 36 36
si6_m4Dr6_m1296.01 6 1 35 35
si4_m4Dr2_m256.00 6 1 0 0
si4_m4Dr2_m256.01 6 1 0 0
si4_m4Dr2_m256.05 6 1 0 0
si4_m4Dr2_m256.04 6 1 0 0
si4_m4Dr2_m256.08 6 1 0 0
si4_m4Dr2_m256.07 6 1 0 0
si4_m4Dr2_m256.06 6 1 0 0
si4_m4Dr2_m256.02 6 1 0 0
si4_m4Dr2_m256.09 6 1 0 0
si4_m4Dr2_m256.03 6 1 0 0
si4_b09m_m200.01 4 1 0 0
si4_b09m_m200.00 4 1 0 0
si4_b09m_m200.03 4 1 0 0
si4_b09m_m200.06 4 1 0 0
si4_b09m_m200.02 4 1 0 0
si4_b09m_m200.04 4 1 0 0
si4_b09m_m200.05 4 1 0 0
si4_b09m_m200.07 4 1 0 0
si4_b09m_m200.08 4 1 0 0
si4_b09m_m200.09 4 1 0 0
si4_m4Dr4_m625.07 6 1 3 3
si4_m4Dr4_m625.05 6 1 3 3
si4_m4Dr4_m625.01 6 1 3 3
si4_m4Dr4_m625.08 6 1 3 3
si4_m4Dr4_m625.09 6 1 6 6
si4_m4Dr4_m625.00 6 1 3 3
si4_m4Dr4_m625.04 6 1 3 3
si4_m4Dr4_m625.06 6 1 3 3
si4_m4Dr4_m625.03 6 1 3 6
si4_m4Dr4_m625.02 6 1 3 3
si4_m4Dr4_m1296.03 6 1 15 15
si4_m4Dr4_m1296.01 6 1 15 15
si4_m4Dr4_m1296.00 6 1 15 25
si4_m4Dr4_m1296.07 6 1 15 15
si4_m4Dr4_m1296.02 6 1 15 15
si4_m4Dr4_m1296.04 6 1 15 15
si4_m4Dr4_m1296.09 6 1 15 15
si4_m4Dr4_m1296.06 6 1 15 15
si4_m4Dr4_m1296.08 6 1 15 14
si4_m4Dr4_m1296.05 6 1 18 18
si2_r005_m400.05 7 1 606 449
si2_r005_m400.06 7 1 486 515
si2_r005_m400.08 7 1 103 128
si2_r005_m400.02 7 1 4140 4138
si2_r005_m400.03 7 1 395 470
si2_r005_m400.00 7 1 444 333
si2_r005_m400.07 7 1 1461 1708
si2_r005_m400.09 7 1 36 51
si2_r005_m400.04 7 1 193 382
si2_r005_m400.01 7 1 16 24
si2_b06m_m400.03 4 1 0 0
si2_b06m_m400.06 4 1 0 0
si2_b06m_m400.05 4 1 0 0
si2_b06m_m400.01 4 1 0 0
