instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_m4Dr2_m1296.08 6 1 3 4 3 3 3 5 3 3 159 160 160
si2_m4Dr2_m1296.01 6 1 11 3 4 7 12 6 8 10 157 161 158
si2_m4Dr2_m1296.03 6 1 3 3 3 3 3 4 3 5 159 160 159
si2_m4Dr2_m1296.04 6 1 3 3 4 3 3 5 4 6 158 159 157
si4_b06m_m800.08 4 1 6 4 6 6 7 7 9 6 131 133 132
si4_b06m_m800.00 4 1 7 7 6 6 5 4 4 4 126 123 123
si4_b06m_m800.06 4 1 6 6 6 5 6 6 4 4 125 125 125
si4_b06m_m800.05 4 1 7 6 7 5 7 6 5 4 132 132 130
si4_b06m_m800.04 4 1 5 4 5 4 5 4 4 6 134 130 132
si4_b06m_m800.09 4 1 4 4 4 4 4 4 4 4 131 132 132
si4_b06m_m800.01 4 1 5 5 4 5 5 7 6 7 131 133 131
si4_b06m_m800.07 4 1 5 4 4 4 4 6 4 6 130 130 129
si4_b06m_m800.03 4 1 4 5 4 4 4 4 4 6 134 131 131
si4_b06m_m800.02 4 1 6 6 5 6 5 5 4 5 130 130 131
si6_m4Dr2_m625.08 6 1 7 7 7 7 7 6 6 6 133 132 133
si6_m4Dr2_m625.09 6 1 13 8 9 7 9 6 6 6 120 121 117
si6_m4Dr2_m625.05 6 1 7 9 9 9 7 9 9 9 122 122 119
si6_m4Dr2_m625.01 6 1 7 7 7 7 7 9 10 8 131 129 131
si6_m4Dr2_m625.06 6 1 9 7 7 9 7 8 6 9 129 131 131
si6_m4Dr2_m625.00 6 1 13 13 6 9 6 9 6 8 128 132 127
si6_m4Dr2_m625.03 6 1 7 7 9 7 8 6 6 6 129 128 130
si6_m4Dr2_m625.02 6 1 9 10 10 9 8 6 6 6 129 130 131
si6_m4Dr2_m625.07 6 1 7 10 8 7 7 9 9 6 130 130 129
si6_m4Dr2_m625.04 6 1 10 10 7 10 8 9 9 9 128 130 130
si2_m4D_m1296.01 5 1 325 5 186 86 127 211 97 98 139 137 139
si2_m4D_m1296.08 5 1 3 3 3 3 3 3 3 3 156 156 156
si2_m4D_m1296.06 5 1 2 14 3 37 2 2 41 41 133 131 127
si2_m4D_m1296.05 5 1 3 3 3 5 3 5 6 5 164 166 162
si2_m4D_m1296.09 5 1 4 3 4 3 4 5 3 4 163 166 164
si2_m4D_m1296.03 5 1 11 2 2 13 6 2 15 15 134 136 131
