instance family sat glasgowdegreenorestartsnonogoods glasgowantinorestartsnonogoods glasgowrandomnorestartsnonogoods glasgowbiasednorestartsnonogoods glasgowdegreenorestartsnonogoodsdds glasgowrandom glasgowbiased glasgowbiasednonogoods glasgowbiasedconstant10000threads36v2 glasgowbiasedconstant10000triggeredthreads36v2 glasgowbiasedthreads36v2
si2_m4D_m1296.07 5 1 4 6 4 4 4 4 4 4 145 131 132
si2_m4D_m1296.02 5 1 2 5 2 5 2 2 5 5 247 243 111
si2_m4D_m1296.04 5 1 31 32 2 2 28 2 2 2 269 275 201
si2_m4D_m1296.00 5 1 4 4 4 4 4 4 4 4 109 110 111
si4_b03_m800.05 3 1 3 3 3 3 3 3 3 3 73 73 75
si4_b03_m800.00 3 1 3 3 3 3 3 3 3 3 73 73 73
si4_b03_m800.08 3 1 3 3 3 3 3 3 3 3 74 73 74
si4_b03_m800.09 3 1 3 3 3 3 3 3 3 3 77 73 74
si4_b03_m800.03 3 1 3 3 3 3 3 3 3 3 73 73 77
si4_b03_m800.02 3 1 3 3 3 3 3 3 3 3 73 74 73
si4_b03_m800.04 3 1 3 3 3 3 3 3 3 3 73 73 73
si4_b03_m800.01 3 1 3 3 3 3 3 3 3 3 73 73 73
si4_b03_m800.06 3 1 3 3 3 3 3 3 3 3 73 73 73
si4_b03_m800.07 3 1 3 3 3 3 3 3 3 3 73 73 73
si6_m4D_m1296.02 5 1 45 38 41 38 45 41 38 38 114 209 112
si6_m4D_m1296.07 5 1 249 199 133 683 NaN 133 683 683 1903 1435 1599
si6_m4D_m1296.05 5 1 50 45 54 50 50 54 50 50 470 308 335
si6_m4D_m1296.09 5 1 151 299 245 153 NaN 245 153 153 851 901 977
si6_m4D_m1296.00 5 1 231 661 190 543 NaN 190 543 543 2083 2874 3027
si6_m4D_m1296.08 5 1 46 33 37 52 61 37 52 52 109 108 109
si6_m4D_m1296.04 5 1 35 25 30 32 35 30 32 32 284 234 102
si6_m4D_m1296.06 5 1 2711 311 111 687 NaN 111 687 687 1732 1823 1571
si6_m4D_m1296.01 5 1 1092 942 686 1024 NaN 686 1018 2139 980 1672 2426
si6_m4D_m1296.03 5 1 2682 3734 5123 1351 NaN 10691 2480 6526 21988 19747 18722
si6_r001_m200.05 7 1 33 27 36 24 43 36 24 24 101 97 112
si6_r001_m200.09 7 1 18 35 25 22 18 25 22 22 72 116 77
si6_r001_m200.07 7 1 12 13 13 12 12 13 12 12 60 22 55
si6_r001_m200.02 7 1 9 9 9 9 9 9 9 9 46 54 20
si6_r001_m200.01 7 1 24 25 23 22 24 23 22 22 108 54 42
