instance family mcsplitdown2 mcsplitdownbiasedrestarts2
si2_m4D_m256.09 5 1 0
si2_m4D_m256.00 5 0 0
si2_m4D_m256.05 5 0 1
si6_r01_m400.04 7 28 29
si6_r01_m400.08 7 47 39
si6_r01_m400.07 7 6 6
si6_r01_m400.06 7 38 33
si6_r01_m400.05 7 12 55
si6_r01_m400.02 7 9 35
si6_r01_m400.00 7 24 72
si6_r01_m400.03 7 120 122
si6_r01_m400.01 7 122 141
si6_r01_m400.09 7 229 246
si2_m4Dr4_m625.07 6 14 9
si2_m4Dr4_m625.02 6 6 7
si2_m4Dr4_m625.03 6 5 7
si2_m4Dr4_m625.00 6 3 6
si2_m4Dr4_m625.05 6 6 5
si2_m4Dr4_m625.06 6 25 12
si2_m4Dr4_m625.09 6 2014 373
si2_m4Dr4_m625.01 6 6 6
si2_m4Dr4_m625.08 6 23 40
si2_m4Dr4_m625.04 6 433 61
si4_r01_m400.01 7 119 96
si4_r01_m400.08 7 10 8
si4_r01_m400.02 7 98 120
si4_r01_m400.03 7 267 197
si4_r01_m400.07 7 76 3
si4_r01_m400.06 7 17 16
si4_r01_m400.04 7 2200 1499
si4_r01_m400.00 7 1535 2188
si4_r01_m400.05 7 171 124
si4_r01_m400.09 7 1042 1406
si2_b09m_m400.09 4 4 2
si2_b09m_m400.03 4 4 4
si2_b09m_m400.01 4 1 2
si2_b09m_m400.08 4 2 2
si2_b09m_m400.05 4 4 4
si2_b09m_m400.06 4 1 3
si2_b09m_m400.00 4 1 2
si2_b09m_m400.02 4 2 2
si2_b09m_m400.04 4 3 2
si2_b09m_m400.07 4 1 4
si2_b09_m800.07 3 10 7
si2_b09_m800.04 3 9 9
si2_b09_m800.05 3 8 9
si2_b09_m800.00 3 6 10
si2_b09_m800.02 3 7 10
si2_b09_m800.01 3 9 8
si2_b09_m800.08 3 7 9
si2_b09_m800.09 3 8 10
si2_b09_m800.03 3 6 6
si2_b09_m800.06 3 7 8
si6_b03_m400.04 3 4 5
si6_b03_m400.09 3 5 6
si6_b03_m400.02 3 4 4
si6_b03_m400.06 3 5 5
si6_b03_m400.05 3 4 7
si6_b03_m400.08 3 5 4
si6_b03_m400.01 3 3 3
si6_b03_m400.07 3 3 4
si6_b03_m400.03 3 4 5
si6_b03_m400.00 3 5 6
si2_r005_m600.03 7 794 733
si2_r005_m600.00 7 8652 10458
si2_r005_m600.06 7 2715 1862
si2_r005_m600.01 7 8133 9029
si2_r005_m600.04 7 825 366
si2_r005_m600.09 7 614 793
si2_r005_m600.05 7 1435 2613
si2_r005_m600.02 7 3544 3103
si2_r005_m600.08 7 4933 6175
si2_r005_m600.07 7 1335 699
si4_r01_m600.05 7 226 294
si4_r01_m600.02 7 754 509
si4_r01_m600.03 7 2049 329
si4_r01_m600.07 7 444 608
si4_r01_m600.08 7 1335 1637
si4_r01_m600.06 7 3299 2889
si4_r01_m600.01 7 86 99
si4_r01_m600.04 7 20 38
si4_r01_m600.00 7 17 43
si4_r01_m600.09 7 2347 1710
si2_b09_m400.04 3 3 3
si2_b09_m400.08 3 2 2
si2_b09_m400.05 3 2 2
si2_b09_m400.01 3 2 2
si2_b09_m400.03 3 1 1
si2_b09_m400.02 3 2 2
si2_b09_m400.07 3 2 2
si2_b09_m400.09 3 2 2
si2_b09_m400.06 3 2 3
si2_b09_m400.00 3 2 2
si4_b06_m200.06 3 0 1
si4_b06_m200.03 3 1 1
si4_b06_m200.02 3 0 0
si4_b06_m200.07 3 0 1
si4_b06_m200.05 3 0 1
si4_b06_m200.08 3 0 1
si4_b06_m200.00 3 0 0
si4_b06_m200.04 3 0 1
si4_b06_m200.01 3 1 1
si4_b06_m200.09 3 0 1
si4_r005_m400.06 7 12 31
si4_r005_m400.03 7 137 204
si4_r005_m400.07 7 95 114
si4_r005_m400.01 7 14 28
si4_r005_m400.04 7 117 116
si4_r005_m400.00 7 43 40
si4_r005_m400.09 7 23 7
si4_r005_m400.05 7 33 49
si4_r005_m400.08 7 6 4
si4_r005_m400.02 7 217 213
si4_m4Dr2_m1296.07 6 36 38
si4_m4Dr2_m1296.00 6 39 34
si4_m4Dr2_m1296.05 6 39 40
si4_m4Dr2_m1296.04 6 35 45
si4_m4Dr2_m1296.08 6 59 66
si4_m4Dr2_m1296.01 6 45 45
si4_m4Dr2_m1296.06 6 38 40
si4_m4Dr2_m1296.02 6 32 31
