instance family sat glasgowdegreenorestartsnonogoodsinduced glasgowbiasedinduced
si6_b09m_m400.00 4 1 1 1
si6_b09m_m400.04 4 1 3 3
si6_b09m_m400.06 4 1 2 2
si6_b09m_m400.08 4 1 2 2
si6_b09m_m400.02 4 1 3 3
si6_b09m_m400.05 4 1 2 2
si6_b09m_m400.09 4 1 2 2
si6_b09m_m400.01 4 1 3 3
si2_b09_m200.08 3 1 3 3
si2_b09_m200.01 3 1 3 3
si2_b09_m200.06 3 1 3 3
si2_b09_m200.05 3 1 3 3
si2_b09_m200.00 3 1 3 3
si2_b09_m200.02 3 1 3 3
si2_b09_m200.03 3 1 3 3
si2_b09_m200.04 3 1 3 3
si2_b09_m200.09 3 1 3 3
si2_b09_m200.07 3 1 3 3
si6_r01_m600.02 7 1 7901 11810
si6_r01_m600.06 7 1 10 2504
si6_r01_m600.09 7 1 26982 31899
si6_r01_m600.08 7 1 293004 369511
si6_r01_m600.05 7 1 523 2996
si6_r01_m600.07 7 1 42002 36771
si6_r01_m600.03 7 1 11029 22366
si6_r01_m600.00 7 1 4119 4610
si6_r01_m600.01 7 1 3827 3428
si6_r01_m600.04 7 1 114485 88032
si2_b06_m200.02 3 1 3 3
si2_b06_m200.00 3 1 3 3
si2_b06_m200.01 3 1 3 3
si2_b06_m200.06 3 1 3 3
si2_b06_m200.09 3 1 3 3
si2_b06_m200.07 3 1 3 3
si2_b06_m200.04 3 1 3 3
si2_b06_m200.08 3 1 3 3
si2_b06_m200.03 3 1 3 3
si2_b06_m200.05 3 1 3 3
si6_m4Dr2_m1296.05 6 1 9 9
si6_m4Dr2_m1296.09 6 1 6 6
si6_m4Dr2_m1296.01 6 1 14 14
si6_m4Dr2_m1296.06 6 1 15 15
si6_m4Dr2_m1296.07 6 1 11 11
si6_m4Dr2_m1296.03 6 1 8 8
si6_m4Dr2_m1296.04 6 1 13 13
si6_m4Dr2_m1296.00 6 1 16 16
si6_m4Dr2_m1296.08 6 1 10 10
si6_m4Dr2_m1296.02 6 1 19 19
si2_b09m_m800.09 4 1 15 15
si2_b09m_m800.07 4 1 2964 21
si2_b09m_m800.00 4 1 14 14
si2_b09m_m800.04 4 1 18 18
si2_b09m_m800.02 4 1 12 12
